"department _number","department_title","employment_type","ethnicity","gender","job_num","job_status","job_title","mou","mou_title","pay_year","record_num","benefit_pay","retirement_contributions","other_pay","overtime_pay","regular_pay","total_pay"
70,"POLICE","PER_EVENT","BLACK","FEMALE",2209-01,"NOT_ACTIVE","SENIOR POLICE SERVICE REPRESENTATIVE I",20,"SUPERVISORY ADMINISTRATIVE",2021,3.130303331E+09,0,0,47,0,0,47
44,"LIBRARY","FULL_TIME","CAUCASIAN","MALE",*,"NOT_ACTIVE","LIBRARIAN III",6,"LIBRARIANS",2016,3.932383434E+09,8378.04,13227.07,937.92,0,44595.64,45533.56
38,"FIRE","FULL_TIME","HISPANIC","MALE",2112-03,"ACTIVE","FIREFIGHTER III",23,"FIREFIGHTERS AND FIRE CAPTAINS",2020,3.939373133E+09,17116.16,52180.06,2247.1,20429.6,111376.86,134053.56
4,"AIRPORTS","FULL_TIME","CAUCASIAN","MALE",3225-03,"ACTIVE","AIRPORT POLICE OFFICER III",30,"LOS ANGELES AIRPORT PEACE OFFICERS",2013,3.239363938E+09,609.6,1044.51,204,858.39,3521.6,4583.99
8,"BUILDING AND SAFETY","FULL_TIME","HISPANIC","FEMALE",*,"NOT_ACTIVE","ADMINISTRATIVE CLERK",3,"CLERICAL",2013,3.73434363031E+11,10482.24,14525.46,1361.71,0,48973.22,50334.93
88,"RECREATION AND PARKS","PART_TIME","HISPANIC","FEMALE",*,"ACTIVE","ADMINISTRATIVE CLERK",3,"CLERICAL",2015,3.43736363633E+11,0,0,0,0,20411.48,20411.48
70,"POLICE","FULL_TIME","BLACK","FEMALE",*,"NOT_ACTIVE","SENIOR ADMINISTRATIVE CLERK",3,"CLERICAL",2014,3.838343235E+09,17423.04,18944.91,4775.33,0,63873.61,68648.94
82,"PUBLIC WORKS - SANITATION","FULL_TIME","HISPANIC","MALE",3580-02,"ACTIVE","REFUSE COLLECTION TRUCK OPERATOR II",4,"EQUIPMENT OPERATION AND LABOR",2020,3.339323932E+09,16996.34,23075.48,4485.89,31470.87,77800,113756.76
98,"WATER AND POWER","FULL_TIME","CAUCASIAN","MALE",*,"ACTIVE","CONSTR ELTL HLPR",*,"DAILY RATE",2016,3.03435393532E+11,0,0,51081.65,4406.4,55917.72,111405.77
70,"POLICE","FULL_TIME","BLACK","FEMALE",2207-02,"ACTIVE","POLICE SERVICE REPRESENTATIVE II",3,"CLERICAL",2017,3.13534333033E+11,7208.51,25658.45,725,4643.92,86508.6,91877.52
82,"PUBLIC WORKS - SANITATION","FULL_TIME","BLACK","MALE",3580-02,"ACTIVE","REFUSE COLLECTION TRUCK OPERATOR II",4,"EQUIPMENT OPERATION AND LABOR",2019,3.23731353533E+11,7987.92,22919.82,1143.19,22389.65,77275.19,100808.03
98,"WATER AND POWER","FULL_TIME","ASIAN AMERICAN","MALE",1431-05,"ACTIVE","PRGMR ANLST",3,"PROFESSIONAL UNIT",2020,3.33130393733E+11,20406.8,0,2874.2,268.08,134755.56,137897.84
98,"WATER AND POWER","FULL_TIME","AMERICAN INDIAN/ALASKAN NATIVE","MALE",3879-05,"ACTIVE","ELECTRIC DISTRIBUTION MECHANIC",8,"OPERATING MAINTENANCE AND SERVICE UNIT",2020,3.532313735E+09,24845.07,8441,15038.53,73105.01,127889.48,216033.02
70,"POLICE","FULL_TIME","HISPANIC","MALE",2214-03,"NOT_ACTIVE","POLICE OFFICER III",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2021,3.63234353031E+11,10413.6,31428.27,3029.25,18589.25,67082.75,88701.25
76,"PUBLIC WORKS - CONTRACT ADMINISTRATION","FULL_TIME","CAUCASIAN","MALE",*,"ACTIVE","CONSTRUCTION INSPECTOR",5,"INSPECTORS",2019,3.233363538E+09,17823.36,30513.44,7005.39,1476.5,102877.42,111359.31
44,"LIBRARY","FULL_TIME","ASIAN","MALE",*,"NOT_ACTIVE","LIBRARIAN II",6,"LIBRARIANS",2014,3.339343136E+09,410.78,19584.41,13964.98,0,66029.7,79994.68
38,"FIRE","FULL_TIME","HISPANIC","MALE",*,"ACTIVE","ENGINEER OF FIRE DEPARTMENT",23,"FIREFIGHTERS AND FIRE CAPTAINS",2019,3.533373534E+09,18556.18,49200.96,1326,83224.44,118083.84,202634.28
94,"TRANSPORTATION","PART_TIME","HISPANIC","MALE",*,"NOT_ACTIVE","CROSSING GUARD",34,"CROSSING GUARDS",2018,3.636303932E+09,7339.84,0,3210.17,0,7988.4,11198.57
70,"POLICE","FULL_TIME","HISPANIC","FEMALE",2214-02,"ACTIVE","POLICE OFFICER II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2022,3.935323534E+09,9531.53,26122.06,2280,1466.52,55756.8,59503.32
70,"POLICE","FULL_TIME","BLACK","MALE",*,"ACTIVE","PRINCIPAL DETENTION OFFICER",12,"SUPERVISORY BLUE COLLAR",2022,3.035353932E+09,8779.56,15540.11,5040.62,1309.86,52394.16,58744.64
86,"PUBLIC WORKS - STREET SERVICES","FULL_TIME","HISPANIC","MALE",*,"ACTIVE","STREET SERVICES WORKER I",4,"EQUIPMENT OPERATION AND LABOR",2019,3.83736383932E+11,17900.64,13973.01,315.6,6749.52,47110.61,54175.73
38,"FIRE","FULL_TIME","CAUCASIAN","MALE",2112-03,"ACTIVE","FIREFIGHTER III",23,"FIREFIGHTERS AND FIRE CAPTAINS",2014,3.53632393732E+11,14892.23,43886.83,8818,31241.72,93675.2,133734.92
15,"CIVIL, HUMAN RIGHTS AND EQUITY DEPARTMENT","FULL_TIME","HISPANIC","FEMALE",*,"ACTIVE","OFFICE TRAINEE ADMIN CLERK",3,"CLERICAL",2022,3.13539323334E+11,0,2154.43,922.77,0,7263.76,8186.53
4,"AIRPORTS","FULL_TIME","HISPANIC","MALE",*,"ACTIVE","SENIOR CARPENTER",2,"BUILDING TRADES",2018,3.835323832E+09,19622.16,27997.17,8915.64,13819.81,94393.71,117129.16
98,"WATER AND POWER","FULL_TIME","ASIAN AMERICAN","MALE",*,"ACTIVE","ELTL ENGR ASSOC",3,"PROFESSIONAL UNIT",2020,3.83830393833E+11,21615.32,0,4581.6,11918.81,108448.19,124948.6
86,"PUBLIC WORKS - STREET SERVICES","FULL_TIME","ASIAN","FEMALE",*,"NOT_ACTIVE","MANAGEMENT AIDE",1,"ADMINISTRATIVE",2018,3.73839373632E+11,15804.96,21451.27,47.3,1775.8,72323.9,74147
44,"LIBRARY","PART_TIME","BLACK","MALE",*,"ACTIVE","MESSENGER CLERK",3,"CLERICAL",2019,3.23135373833E+11,7654.08,0,28.95,0,18756.8,18785.75
70,"POLICE","FULL_TIME","HISPANIC","FEMALE",2223-02,"ACTIVE","POLICE DETECTIVE II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2019,3.435363635E+09,18511,38486.42,-3324.18,0,128699.78,125375.6
70,"POLICE","FULL_TIME","HISPANIC","FEMALE",*,"ACTIVE","MANAGEMENT ANALYST",1,"ADMINISTRATIVE",2022,3.934353433E+09,6713.16,14792.04,0,0,49872,49872
94,"TRANSPORTATION","FULL_TIME","FILIPINO","MALE",*,"ACTIVE","TRANSPORTATION ENGINEERING ASSOCIATE II",8,"PROFESSIONAL ENGINEERING AND SCIENTIFIC",2015,3.837323535E+09,17490.48,28131.92,600,1368,94848,96816
86,"PUBLIC WORKS - STREET SERVICES","FULL_TIME","BLACK","MALE",*,"ACTIVE","LIGHT EQUIPMENT OPERATOR",4,"EQUIPMENT OPERATION AND LABOR",2017,3.733393531E+09,7528.44,18854.88,1123.9,29159.21,63570.05,93853.16
66,"PERSONNEL","FULL_TIME","BLACK","MALE",*,"NOT_ACTIVE","ADMINISTRATIVE CLERK",3,"CLERICAL",2014,3.23634333832E+11,1675.8,3527.67,964.19,0,11893.69,12857.88
70,"POLICE","FULL_TIME","HISPANIC","FEMALE",2214-02,"ACTIVE","POLICE OFFICER II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2022,3.53536333932E+11,8088.88,25990.46,3480,2965.89,55475.91,61921.8
70,"POLICE","FULL_TIME","BLACK","MALE",2214-03,"ACTIVE","POLICE OFFICER III",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2020,3.934383732E+09,17865.76,60121.67,1839.82,14864.19,128328,145032.01
70,"POLICE","FULL_TIME","BLACK","MALE",2214-02,"ACTIVE","POLICE OFFICER II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2013,3.534373632E+09,14056.47,44329.2,6126.6,0,94619.42,100746.02
40,"GENERAL SERVICES","FULL_TIME","ASIAN","MALE",3712-06,"ACTIVE","SENIOR EQUIPMENT MECHANIC",14,"SERVICE AND CRAFT",2019,3.73231343033E+11,264.72,27812.99,1970.95,3429.86,93772.73,99173.54
88,"RECREATION AND PARKS","FULL_TIME","BLACK","MALE",2446-01,"NOT_ACTIVE","SENIOR RECREATION DIRECTOR I",11,"RECREATIONAL",2019,3.438343532E+09,7335.16,24024.12,2727.88,6365.24,80998.38,90091.5
88,"RECREATION AND PARKS","PART_TIME","HISPANIC","FEMALE",*,"ACTIVE","ADMINISTRATIVE CLERK",3,"CLERICAL",2019,3.336343735E+09,7767.6,0,0,0,27485.6,27485.6
38,"FIRE","FULL_TIME","CAUCASIAN","MALE",2142-01,"ACTIVE","FIRE CAPTAIN I",23,"FIREFIGHTERS AND FIRE CAPTAINS",2021,3.133383333E+09,20013.08,75541.69,1506,107067.58,161241.6,269815.18
86,"PUBLIC WORKS - STREET SERVICES","FULL_TIME","BLACK","MALE",*,"NOT_ACTIVE","STREET SERVICES SUPERINTENDENT I",36,"MANAGEMENT EMPLOYEES",2021,3.431333532E+09,13775,30940.19,6.36,13731.52,104316.23,118054.11
44,"LIBRARY","FULL_TIME","HISPANIC","FEMALE",*,"ACTIVE","ADMINISTRATIVE CLERK",3,"CLERICAL",2021,3.43739313433E+11,20445.84,16705.12,6,0,56322.05,56328.05
32,"INFORMATION TECHNOLOGY AGENCY","PART_TIME","CAUCASIAN","MALE",*,"ACTIVE","STUDENT WORKER",0,"NON-REPRESENTED",2019,3.53530383034E+11,0,0,0,0,3672.8,3672.8
70,"POLICE","PER_EVENT","CAUCASIAN","FEMALE",2207-01,"NOT_ACTIVE","POLICE SERVICE REPRESENTATIVE I",3,"CLERICAL",2020,3.13837353833E+11,0,0,365.43,0,0,365.43
98,"WATER AND POWER","FULL_TIME","BLACK","MALE",1110-01,"ACTIVE","UTILITY PRE CRAFT TRAINEE",*,"DAILY RATE",2016,3.53631313733E+11,0,0,14403.82,0,12000,26403.82
40,"GENERAL SERVICES","PART_TIME","HISPANIC","MALE",*,"ACTIVE","CITY CRAFT ASSISTANT - HIRING HALL",35,"CRAFT WORKERS/ HIRING HALL",2020,3.33136383034E+11,0,0,14611.55,761.25,41522.25,56895.05
14,"CITY CLERK","PART_TIME","HISPANIC","FEMALE",*,"NOT_ACTIVE","ELECTION ASSISTANT I",0,"NON-REPRESENTED",2017,3.73331353733E+11,0,0,0,0,206.45,206.45
98,"WATER AND POWER","FULL_TIME","CAUCASIAN","MALE",3841-05,"ACTIVE","ELTL MCHC",8,"OPERATING MAINTENANCE AND SERVICE UNIT",2018,3.93138353433E+11,23631.46,6781,6214.96,32294.96,102747.55,141257.47
12,"CITY ATTORNEY","FULL_TIME","HISPANIC","MALE",*,"NOT_ACTIVE","DEPUTY CITY ATTORNEY IV",29,"DEPUTY CITY ATTORNEYS",2014,3.135313634E+09,11615.36,34319.29,0,0,115709,115709
70,"POLICE","FULL_TIME","ASIAN","MALE",2214-02,"ACTIVE","POLICE OFFICER II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2014,3.73139343233E+11,14580.98,42335.58,3760.2,14085.22,90364.1,108209.52
32,"INFORMATION TECHNOLOGY AGENCY","PART_TIME","HISPANIC","MALE",1461-01,"NOT_ACTIVE","COMMUNICATIONS INFORMATION REPRESENTATIVE I",3,"CLERICAL",2019,3.03338303933E+11,0,0,185,0,6652.36,6837.36
39,"OFFICE OF FINANCE","FULL_TIME","ASIAN","MALE",*,"NOT_ACTIVE","SYSTEMS ANALYST",1,"ADMINISTRATIVE",2017,3.431353331E+09,274.48,13678.72,800,0,46118.4,46918.4
78,"PUBLIC WORKS - ENGINEERING","FULL_TIME","ASIAN","FEMALE",*,"NOT_ACTIVE","SENIOR CIVIL ENGINEER",17,"SUPERVISORY PROFESSIONAL ENGINEERING AND SCIENTIFIC",2021,3.03234383932E+11,4294.55,24689.34,14223.8,0,83241.2,97465
98,"WATER AND POWER","FULL_TIME","CAUCASIAN","MALE",1910-03,"ACTIVE","HEAVY DUTY EQUIPMENT MECHANIC",8,"OPERATING MAINTENANCE AND SERVICE UNIT",2013,3.83935303033E+11,17111.02,5812,7050.92,13940.76,88067.36,109059.04
98,"WATER AND POWER","FULL_TIME","CAUCASIAN","FEMALE",*,"ACTIVE","CVL ENGG ASSO",3,"PROFESSIONAL UNIT",2018,3.13134323632E+11,23631.46,9100,13298.74,0,137882.41,151181.15
88,"RECREATION AND PARKS","PART_TIME","OTHER","FEMALE",*,"ACTIVE","RECREATION INSTRUCTOR",7,"RECREATION ASSISTANTS",2022,3.43038353034E+11,0,0,500,0,6204.8,6704.8
88,"RECREATION AND PARKS","FULL_TIME","FILIPINO","FEMALE",1513-02,"NOT_ACTIVE","ACCOUNTANT II",1,"ADMINISTRATIVE",2014,3.833333435E+09,6695.52,20433.13,57.3,0,68891.2,68948.5
98,"WATER AND POWER","FULL_TIME","ASIAN AMERICAN","MALE",*,"ACTIVE","ELTL ENGR ASSOC",3,"PROFESSIONAL UNIT",2021,3.83738303133E+11,6364.53,2147,14514.32,20683.91,32524.8,67723.03
44,"LIBRARY","PART_TIME","BLACK","MALE",*,"ACTIVE","MESSENGER CLERK",3,"CLERICAL",2021,3.53732313433E+11,7928.4,0,40.67,0,21698.84,21739.51
82,"PUBLIC WORKS - SANITATION","FULL_TIME","BLACK","MALE",*,"NOT_ACTIVE","MANAGEMENT ANALYST I",1,"ADMINISTRATIVE",2015,3.435323434E+09,13819.05,20531.6,0,0,69223.2,69223.2
88,"RECREATION AND PARKS","PART_TIME","HISPANIC","MALE",*,"NOT_ACTIVE","RECREATION ASSISTANT",7,"RECREATION ASSISTANTS",2016,3.639363539E+09,2308.64,0,979.51,0,6756.75,7736.26
70,"POLICE","FULL_TIME","HISPANIC","FEMALE",*,"NOT_ACTIVE","POLICE OFFICER I",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2015,3.63735343733E+11,1216.22,1174.54,0,41.25,3960,4001.25
70,"POLICE","FULL_TIME","HISPANIC","MALE",2214-02,"ACTIVE","POLICE OFFICER II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2022,3.93636303433E+11,9382.06,16272.48,2280,1656.3,50457.14,54393.44
70,"POLICE","FULL_TIME","HISPANIC","FEMALE",2214-03,"ACTIVE","POLICE OFFICER III",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2017,3.834323333E+09,947,52076.18,2905,520.66,111155.14,114580.8
44,"LIBRARY","PART_TIME","HISPANIC","FEMALE",*,"NOT_ACTIVE","ADMINISTRATIVE CLERK",3,"CLERICAL",2013,3.732383237E+09,0,0,0,0,8862.92,8862.92
4,"AIRPORTS","FULL_TIME","BLACK","MALE",*,"NOT_ACTIVE","CUSTODIAN - AIRPORTS",15,"SERVICE EMPLOYEES",2014,3.13132313031E+11,6703.2,14498.05,6383.58,8198.97,48880.83,63463.38
70,"POLICE","FULL_TIME","BLACK","FEMALE",2207-02,"ACTIVE","POLICE SERVICE REPRESENTATIVE II",3,"CLERICAL",2018,3.831333832E+09,15328.32,23462.72,946.15,0,79105.6,80051.75
94,"TRANSPORTATION","FULL_TIME","BLACK","MALE",3214-02,"ACTIVE","TRAFFIC OFFICER II",18,"SAFETY / SECURITY",2020,3.63837343832E+11,19973.06,23666.76,12332.14,12476.09,79793.52,104601.75
70,"POLICE","FULL_TIME","HISPANIC","FEMALE",2214-03,"ACTIVE","POLICE OFFICER III",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2021,3.73733373633E+11,18496.32,55729.95,9241,0,118954,128195
40,"GENERAL SERVICES","FULL_TIME","FILIPINO","FEMALE",*,"ACTIVE","SMS PAYMENT CLERK",3,"CLERICAL",2019,3.338333937E+09,19731.84,23092.99,600,10955,77859.04,89414.04
39,"OFFICE OF FINANCE","FULL_TIME","OTHER","FEMALE",*,"NOT_ACTIVE","ADMINISTRATIVE CLERK",3,"CLERICAL",2015,3.032333939E+09,2055.27,4431.2,0,0,14940,14940
4,"AIRPORTS","PART_TIME","HISPANIC","MALE",*,"ACTIVE","AIRPORT GUIDE I",3,"CLERICAL",2022,3.13230323334E+11,0,0,1330.54,199.8,6393.6,7923.94
86,"PUBLIC WORKS - STREET SERVICES","PART_TIME","HISPANIC","MALE",*,"ACTIVE","LABORER - GROUP IV",35,"CRAFT WORKERS/ HIRING HALL",2020,3.53130343733E+11,0,0,11772.58,0,70327.48,82100.06
70,"POLICE","FULL_TIME","BLACK","MALE",2214-02,"NOT_ACTIVE","POLICE OFFICER II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2017,3.930333237E+09,15513.38,47722.26,1525,37963.23,101861.81,141350.04
70,"POLICE","FULL_TIME","HISPANIC","MALE",2214-02,"NOT_ACTIVE","POLICE OFFICER II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2020,3.13336373932E+11,1544,6310.75,0,7071.81,13470.12,20541.93
98,"WATER AND POWER","FULL_TIME","HISPANIC","MALE",3531-05,"NOT_ACTIVE","GRG ATDT",8,"OPERATING MAINTENANCE AND SERVICE UNIT",2018,3.33536303932E+11,19767.3,4288,4597.25,7788.44,64966.91,77352.6
70,"POLICE","FULL_TIME","CAUCASIAN","MALE",2214-02,"NOT_ACTIVE","POLICE OFFICER II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2014,3.637313131E+09,14694.98,44593.52,3760.2,5552.6,95183.6,104496.4
43,"LOS ANGELES HOUSING","FULL_TIME","HISPANIC","MALE",*,"NOT_ACTIVE","HOUSING INSPECTOR",5,"INSPECTORS",2021,3.33135343533E+11,4955.25,20110.15,1868.72,0,67802.27,69670.99
4,"AIRPORTS","FULL_TIME","ASIAN","FEMALE",*,"ACTIVE","ADMINISTRATIVE CLERK",3,"CLERICAL",2020,3.93831353633E+11,8298.05,12337.47,0,0,41596.32,41596.32
88,"RECREATION AND PARKS","PART_TIME","CAUCASIAN","FEMALE",*,"ACTIVE","RECREATION INSTRUCTOR",7,"RECREATION ASSISTANTS",2018,3.43335333832E+11,0,0,0,0,24977.01,24977.01
88,"RECREATION AND PARKS","PART_TIME","HISPANIC","FEMALE",*,"NOT_ACTIVE","POOL LIFEGUARD",18,"SAFETY / SECURITY",2014,3.530363038E+09,0,0,0,0,309.18,309.18
84,"PUBLIC WORKS - STREET LIGHTING","FULL_TIME","HISPANIC","FEMALE",*,"ACTIVE","ADMINISTRATIVE CLERK",3,"CLERICAL",2020,3.33137343034E+11,3222.92,6115.42,0,0,20618.42,20618.42
86,"PUBLIC WORKS - STREET SERVICES","FULL_TIME","CAUCASIAN","MALE",*,"NOT_ACTIVE","STREET SERVICES SUPERVISOR I",12,"SUPERVISORY BLUE COLLAR",2015,3.930323834E+09,518.88,29988.64,10249.85,8898.41,101108.04,120256.3
88,"RECREATION AND PARKS","PART_TIME","BLACK","MALE",*,"ACTIVE","RECREATION ASSISTANT",7,"RECREATION ASSISTANTS",2019,3.83233343133E+11,7767.6,0,0,0,16205.72,16205.72
98,"WATER AND POWER","FULL_TIME","BLACK","FEMALE",1903-09,"ACTIVE","CLERK TYPIST",7,"CLERICAL UNIT",2014,3.73632383333E+11,18124.69,2071,39666.73,2253.6,31376,73296.33
87,"ZOO","FULL_TIME","HISPANIC","MALE",2412-02,"NOT_ACTIVE","PARK SERVICES ATTENDANT II",3,"CLERICAL",2014,3.832303532E+09,7020.72,14063.11,455,0,47414.4,47869.4
70,"POLICE","FULL_TIME","CAUCASIAN","MALE",2223-02,"ACTIVE","POLICE DETECTIVE II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2021,3.439343834E+09,19748.08,63100.58,6931.82,535.51,134686.41,142153.74
4,"AIRPORTS","FULL_TIME","CAUCASIAN","MALE",*,"NOT_ACTIVE","AIRPORT SUPERINTENDENT OF OPERATIONS I",1,"ADMINISTRATIVE",2018,3.03436313733E+11,12705.22,19306.99,8828.47,0,65094.36,73922.83
44,"LIBRARY","FULL_TIME","ASIAN","FEMALE",*,"ACTIVE","SENIOR LIBRARIAN",16,"SUPERVISORY LIBRARIANS",2015,3.234383632E+09,16276.56,28953.53,981.79,0,97618.12,98599.91
66,"PERSONNEL","PART_TIME","FILIPINO","FEMALE",*,"NOT_ACTIVE","PROCTOR",0,"NON-REPRESENTED",2017,3.23234363733E+11,0,0,0,0,4660.61,4660.61
98,"WATER AND POWER","FULL_TIME","HISPANIC","MALE",1909-02,"ACTIVE","CARPENTER",8,"OPERATING MAINTENANCE AND SERVICE UNIT",2013,3.13935343732E+11,17111.02,5732,10924.6,7393.86,86855.84,105174.3
30,"CULTURAL AFFAIRS","PART_TIME","CAUCASIAN","FEMALE",2455-01,"ACTIVE","ARTS MANAGER I",20,"SUPERVISORY ADMINISTRATIVE",2016,3.137353234E+09,0,0,415.42,0,15236.85,15652.27
4,"AIRPORTS","FULL_TIME","BLACK","FEMALE",*,"NOT_ACTIVE","CUSTODIAN SUPERVISOR",12,"SUPERVISORY BLUE COLLAR",2014,3.830313334E+09,7020.72,17983.81,8634.35,4206.72,60633.22,73474.29
70,"POLICE","PART_TIME","CAUCASIAN","MALE",*,"NOT_ACTIVE","SECURITY OFFICER",18,"SAFETY / SECURITY",2014,3.938303131E+09,201.36,0,1972.75,0,12909.17,14881.92
38,"FIRE","FULL_TIME","HISPANIC","MALE",*,"ACTIVE","FIRE BATTALION CHIEF",22,"FIRE CHIEF OFFICERS",2018,3.333363033E+09,16312,60007.35,-475.35,12173.56,166170.8,177869.01
98,"WATER AND POWER","FULL_TIME","HISPANIC","FEMALE",1230-05,"ACTIVE","COML SRVC REPTV",7,"CLERICAL UNIT",2017,3.53330373532E+11,22552.95,4748,635.01,4247.27,71946.25,76828.53
70,"POLICE","FULL_TIME","HISPANIC","MALE",2214-02,"NOT_ACTIVE","POLICE OFFICER II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2016,3.63735353033E+11,16070.91,43289.4,1525,18071.94,92400,111996.94
98,"WATER AND POWER","FULL_TIME","ASIAN AMERICAN","MALE",*,"ACTIVE","CVL ENGG DRFTG TCHN",2,"TECHNICAL REPRESENTATION UNIT",2019,3.93239303933E+11,22488.16,0,5342.11,5324.56,78786.76,89453.43
82,"PUBLIC WORKS - SANITATION","FULL_TIME","HISPANIC","FEMALE",*,"NOT_ACTIVE","SECRETARY",3,"CLERICAL",2018,3.530343235E+09,18589.75,20889.42,141.86,0,70429.6,70571.46
38,"FIRE","FULL_TIME","BLACK","MALE",2112-02,"NOT_ACTIVE","FIREFIGHTER II",23,"FIREFIGHTERS AND FIRE CAPTAINS",2020,3.730383938E+09,6196.9,24754.33,1834.07,15273.86,52837.42,69945.35
70,"POLICE","FULL_TIME","HISPANIC","MALE",*,"ACTIVE","DETENTION OFFICER",18,"SAFETY / SECURITY",2022,3.43130353034E+11,10354.08,8119.71,2160.1,769.95,27375.96,30306.01
4,"AIRPORTS","FULL_TIME","BLACK","FEMALE",*,"NOT_ACTIVE","MANAGEMENT ANALYST II",1,"ADMINISTRATIVE",2017,3.731373331E+09,3376.75,5572.52,0,845.46,18788,19633.46
44,"LIBRARY","PART_TIME","ASIAN","FEMALE",*,"ACTIVE","LIBRARIAN II",6,"LIBRARIANS",2019,3.139343136E+09,0,0,0,0,0,0
94,"TRANSPORTATION","FULL_TIME","ASIAN","MALE",*,"ACTIVE","TRANSPORTATION ENGINEERING ASSOCIATE II",8,"PROFESSIONAL ENGINEERING AND SCIENTIFIC",2018,3.831363232E+09,19731.84,31946.43,122.73,2840.98,107708.8,110672.51
88,"RECREATION AND PARKS","PART_TIME","CAUCASIAN","FEMALE",*,"ACTIVE","RECREATION ASSISTANT",7,"RECREATION ASSISTANTS",2020,3.73134353833E+11,0,0,333.75,0,0,333.75
94,"TRANSPORTATION","PART_TIME","BLACK","FEMALE",*,"NOT_ACTIVE","COMMUNITY AND ADMINISTRATIVE SUPPORT WORKER II",3,"CLERICAL",2016,3.73331313833E+11,0,0,40,0,5115,5155
6,"ANIMAL SERVICES","FULL_TIME","HISPANIC","MALE",*,"ACTIVE","ANIMAL CARE TECHNICIAN",4,"EQUIPMENT OPERATION AND LABOR",2014,3.33230383033E+11,14579.28,16118.67,2614.11,0,54344.8,56958.91
70,"POLICE","FULL_TIME","HISPANIC","MALE",2214-02,"ACTIVE","POLICE OFFICER II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2022,3.03839343833E+11,4409.29,21729.29,2280,12871.87,46380.56,61532.43
2,"AGING","PART_TIME","BLACK","FEMALE",*,"NOT_ACTIVE","COMMUNITY AND ADMINISTRATIVE SUPPORT WORKER I",3,"CLERICAL",2018,3.73339393733E+11,0,0,750,0,96,846
32,"INFORMATION TECHNOLOGY AGENCY","FULL_TIME","ASIAN","FEMALE",*,"NOT_ACTIVE","ASSISTANT GENERAL MANAGER INFORMATION TECHNOLOGY AGENCY",36,"MANAGEMENT EMPLOYEES",2022,3.035393535E+09,0,0,74538.79,0,0,74538.79
88,"RECREATION AND PARKS","PART_TIME","BLACK","FEMALE",*,"ACTIVE","RECREATION ASSISTANT",7,"RECREATION ASSISTANTS",2020,3.439363039E+09,0,0,296,0,3478.89,3774.89
38,"FIRE","FULL_TIME","CAUCASIAN","MALE",2112-03,"NOT_ACTIVE","FIREFIGHTER III",23,"FIREFIGHTERS AND FIRE CAPTAINS",2014,3.637343238E+09,8513.74,44126.61,9341,35559.64,94187,139087.64
88,"RECREATION AND PARKS","PART_TIME","BLACK","MALE",*,"ACTIVE","LOCKER ROOM ATTENDANT",3,"CLERICAL",2020,3.63237383433E+11,0,0,366.91,0,3305.42,3672.33
82,"PUBLIC WORKS - SANITATION","FULL_TIME","ASIAN","MALE",*,"NOT_ACTIVE","ENVIRONMENTAL ENGINEERING ASSOCIATE II",8,"PROFESSIONAL ENGINEERING AND SCIENTIFIC",2013,3.43232393133E+11,5678.88,24650.54,3460,61.37,83110.4,86631.77
46,"MAYOR","FULL_TIME","BLACK","MALE",*,"ACTIVE","MAYORAL AIDE V",0,"NON-REPRESENTED",2021,3.83838303034E+11,11907.72,15550.86,0,0,52430.4,52430.4
82,"PUBLIC WORKS - SANITATION","FULL_TIME","ASIAN","MALE",*,"NOT_ACTIVE","ENVIRONMENTAL ENGINEER",17,"SUPERVISORY PROFESSIONAL ENGINEERING AND SCIENTIFIC",2018,3.435363831E+09,19179.36,38644.84,124.92,0,130292.8,130417.72
4,"AIRPORTS","FULL_TIME","HISPANIC","FEMALE",*,"ACTIVE","CUSTODIAN - AIRPORTS",15,"SERVICE EMPLOYEES",2018,3.335303539E+09,15328.32,14555.91,-3129.99,1199.94,53485.17,51555.12
70,"POLICE","FULL_TIME","BLACK","MALE",2214-02,"ACTIVE","POLICE OFFICER II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2016,3.23034333633E+11,11071.94,33666.05,1629,9462.13,71859.24,82950.37
98,"WATER AND POWER","FULL_TIME","HISPANIC","MALE",1916-02,"ACTIVE","WATER TREATMENT OPERATOR",6,"STEAM PLANT AND WATER SUPPLY UNIT",2015,3.63239323632E+11,18755.63,5730,8915.84,33213.55,86817.49,128946.88
